uniqueID,drugName,condition,review,rating,usefulCount,sentiment,score,prediction
183765,cymbalta,depression,the cymbalta took about three weeks to kick in.  the side effects started out really strong  dizziness  sweating  no appetite  sleepiness  dry mouth.  now i      ve been on one month and all of my side effects are gone.  i don      t have any sexual side effects.  as far as treating my depression it      s amazing.  it      s like the light has been turned on again and i can see the good in life.  advice  if you      re prescribed this medication  give it a good try - the side effects do diminish.  from what i see here  it seems like this works for a lot of people.,10,621,2.33,9.892948745581515,9
100990,plecanatide,chronic idiopathic constipation,worked great!!! pooping like a champ. ,10,61,4.0,9.179273716124953,9
77358,lorcaserin,weight loss,my bmi is   . bottom line  this works  no or minimal side effects. i keep losing  not hungry anymore  and fill after a few bites at a meal. i need a new belt already.   loops in   weeks. stomach keeps shrinking. before i would go to the fridge all day and snack  and never feel full at meals  it is incredible. i feel    years younger and a lot more active. all within   weeks.,10,62,1.0,9.188929319464659,9
174889,androgel,"hypogonadism, male",works great. raised my levels from    to     (   -          normal      ) which resulted from methadone usage.  very effective.,10,62,3.0,9.188929319464659,9
106830,implanon,birth control,i love the implanon     % effective. i get no periods. the only downhill is that in the   years i      ve being using it i gained at least    pounds which sucks because i tried everything to lose the weight but nothing seems to work for me. i have my appointment for removal on the   st of december. ,10,62,1.0,9.188929319464659,9
28728,lexapro,depression,the sun came out when i started taking this medicine. i started singing in my car  striking up conversations with strangers and being a better mom. it changed my life!,10,62,1.0,9.188929319464659,9
36702,fentanyl,pain,i have used the fentanyl patch in times past with very good success for the treatment of severe ( - ) range pain due to spinal injuries and deteriation. from my broad experience over the last ten years  i believe this to be the most effective medication. i got off it during a period of some symptom improvement and have been using methadone and percocet instead. i am now at a point that i am needing to resume the fentanyl. it is a very serious medication and i strongly suggest you don      t use it if you can get along with anything else. more than most others it requires a highly personalized approach to amount and timing of dosage so counsel with your pharmacist and doctor. do not try to get off of this med without your dr      s help.,10,62,1.0,9.188929319464659,9
12699,etanercept,rheumatoid arthritis,"i was on steroid medication for almost a year  having tapering doses in between. my teeth enamel got disrupted due to side effects of steroid and my haemoglobin count decreased to  gm%/dl..
after i ceased steroids  i became completely bed-ridden as all my joints were invloved excluding spine  not even able to move for a side change.
my rheumatologist suggested enbrel  and a single dose of enbrel changed my entire life.. infact i got a new birth! now my four doses are done and i am as good as i was before this rheumatoid disorder. very happy to have enbrel. i would thank the inventor of enbrel. thank you !",10,61,2.0,9.179273716124953,9
178714,victoza,"diabetes, type 2",was on victoza   years ago and lost about    pounds  had an a c of  . - . .  switched insurances to one that didn      t cover victoza.  had to go on insulin instead    /      units before breakfast and dinner.  so i gained back    pounds in about    months  a c has been as high as   .  and as low as  . .  have had to deal with hypoglycemia several times.    just got new insurance this month  began victoza last thursday  and took my insulin that day  too.  glucose dropped from high    s average to having a     and a     that day!!  i haven      t seen numbers like that in a couple of years!  friday  i skipped my insulin dose.  glucoses are staying in the    s  appetite is much less  and i am insulin free  which will help in so many ways!,10,61,1.0,9.179273716124953,9
14322,cardura xl,benign prostatic hyperplasia,this named drug is prescribed normally in spain and france usually packeted as         carduran  i have used it for ten years but can not get it in australia it was very effective at reducing levels of psa....,10,61,1.0,9.179273716124953,9
77356,lorcaserin,weight loss,this is working great. i read about it in oprah winfrey      s o magizine. asked my doctor if it was right for me and he agreed. losing  lbs per week (on it for three weeks) i need to get my insurance company to pay and have called them about it asking for it to be considered. either way i am breaking even as i have no constant hunger pangs. i feel satisfied with small portions  this must be how fit people feel. good luck with your weight loss journey.  thanks.,10,62,1.25,9.188929319464659,9
214898,ampyra,multiple sclerosis,i love ampyra. i have been taking ampyra for   months i feel much stronger i      m back going to the gym every morning for   hours.,10,61,2.0,9.179273716124953,9
174085,valium,anxiety,use of this medicine is to very effective in treating the illnesses for which it is prescribed.  they will also admit that it is an extremely safe medicine to use. valium when used by me  sporadically  as needed  effectively treats my anxiety episodes  which untreated would probably lead to ulcers.,10,61,1.2,9.179273716124953,9
194690,trulance,chronic idiopathic constipation,worked great!!! pooping like a champ. ,10,61,4.0,9.179273716124953,9
90853,roxicodone,chronic pain,"prescribed   mg  x daily. used to be on opana   mg. opana was definitely a better solution because   pill a day is better than  . new formula causes stomach problems for me  but now i am on roxicodone and it does great for my spinal disc pain
just wish i didn      t have to take   a day",10,61,1.0,9.179273716124953,9
188099,symbyax,bipolar disorde,after years of feeling as though i were slowly losing my mind to ruminations  agitation  depression  lack of focus and general brain-cooties  it finally dawned on me that i was bipolar and i sought treatment. you may read the other positive reviews on here and think they could be written by manufacturers  but you may be underestimating the efficacy of this medication  it is truly amazing. i feel like i did when i was a younger man  before mental illness took hold in my life. my mind is unencumbered and clear. i feel normal! i still can get sad  i still get annoyed by things  i still feel enthusiasm  but it      s tempered  appropriate emotion. symbyax is great. try it. minimal weight gain  by the way.,10,61,1.0,9.179273716124953,9
91534,dalfampridine,multiple sclerosis,i love ampyra. i have been taking ampyra for   months i feel much stronger i      m back going to the gym every morning for   hours.,10,61,2.0,9.179273716124953,9
102503,aripiprazole,depression,i take generic cymbalta and have for   years. one day it just sucked  i was like really down  depressed and living like a hermit. i have been taking    milligrams of abilify on top of the cymbalta    milligrams and so far i actually feel normal for the first time in my life. i am now smiling and going out   looking forward to fresh air and conversation again. thank you abilify  i am now getting back to life.,10,61,1.5,9.179273716124953,9
35843,buprenorphine   naloxone,opiate dependence,after a short addiction to roxicodone i was steered into a methadone clinic and i tried to quit for a little over   years and i just couldn      t do it cold turkey!  i      ve been on subutex and suboxone. they both are amazing! saved my life!  i just wish more people were educated on this medication. i have never gotten  quot high quot  from buprenorphine. if more people knew how to obtain this treatment i      m sure they would!,10,62,1.0,9.188929319464659,9
